Course_Code,Course_Title,Course_Credit
AAAS 1000,Pathways to Asian American Studies,3 Units
AAAS 2020,Introduction to Critical Muslim Studies,3 Units
AAAS 2201,Introduction to Asian American Studies,3 Units
AAAS 2530,Asian American Experience Since 1850,3 Units
AAAS 2822,Modern China,3 Units
AAAS 2868W,Foreign Relations of China Since 1949,3 Units
AAAS 3212,Asian American Literature,3 Units
AAAS 3282,Women in Chinese Literature and Film,3 Units
AAAS 3531,Japanese Americans and World War II,3 Units
AAAS 3809,East Asia Since the Mid-Nineteenth Century,3 Units
AAAS 3845,The Vietnam War,3 Units
AAAS 3998,Variable Topics: Chinese Politics and Economy,3 Units
AAAS 4100,Experiential/Service Learning Seminar,4 Units
AAAS 4999,Independent Study,1-3 Units
ACCT 2001,Principles of Financial Accounting,3 Units
ACCT 2101,Principles of Managerial Accounting,3 Units
ACCT 3201,Intermediate Accounting I,3 Units
ACCT 3202,Intermediate Accounting II,3 Units
ACCT 3210,Introduction to Accounting Analytics,3 Units
ACCT 3221,Cost Accounting,3 Units
ACCT 3260,Federal Income Taxes,3 Units
ACCT 3265,Volunteer Income Tax Assistance for Preparers,2 Units
ACCT 4243,Assurance Services,3 Units
ACCT 4265,Advanced Volunteer Income Tax Assistance for Reviewers,1 Unit
ACCT 4881,Internship in Accounting,3 Units
ACCT 4997W,Senior Thesis in Accounting,3 Units
AFRA 1100,Afrocentric Perspectives in the Arts,3 Units
AFRA 2211,Introduction to Africana Studies,3 Units
AFRA 2214,African American Literature,3 Units
AFRA 2214W,African American Literature,3 Units
AFRA 2222,"Race, Gender, Sexuality, and the Power of Looking",3 Units
AFRA 2345,Language and Racism,3 Units
AFRA 2510,Ethnicity and Race,3 Units
AFRA 2530,African Americans and Social Protest,3 Units
AFRA 2752,Africa in Global History,3 Units
AFRA 3050W,African-American Art,3 Units
AFRA 3106,Black Psychology,3 Units
AFRA 3155,Anthropology of the African Diaspora,3 Units
AFRA 3215W,Twentieth- and Twenty-First Century African American Literature,3 Units
AFRA 3299,Independent Study,1-6 Units
AFRA 3563,African American History to 1865,3 Units
AFRA 3565,African American Women's History,3 Units
AFRA 3568,"Hip Hop, Politics and Youth Culture in America",3 Units
AFRA 3569,Slavery in Film,3 Units
AFRA 3619W,History of the Caribbean,3 Units
AFRA 3652,Black Feminist Politics,3 Units
AFRA 3898,Variable Topics: Black Families,3 Units
AFRA 3898,Variable Topics: WomensHlth/Latinx&Afroamerican,3 Units
AFRA 4994W,Senior Seminar,3 Units
AH 1030,Interdisciplinary Approach to Obesity Prevention,3 Units
AH 1100,Introduction to Allied Health Professions,1 Unit
AH 1200,Introduction to the Martial Arts,1 Unit
AH 2001,Medical Terminology,2 Units
AH 3000,U.S. Healthcare System and Professional Practice,3 Units
AH 3005,Biostatistics for Health Professions,3 Units
AH 3025,Human Physiology in Health and Disease,3 Units
AH 3030,"Fundamentals of Brain, Behavior, and Health",3 Units
AH 3091,Allied Health Sciences Internship,1-6 Units
AH 3099,Independent Study In Allied Health,1-4 Units
AH 3101,Health and Wellness for Life,3 Units
AH 3173,Psychology of Workplace Safety,3 Units
AH 3175E,Environmental Health,3 Units
AH 3203,Aging: Implications for Health Professionals,3 Units
AH 3234,Fitness for Health,3 Units
AH 3278,Worker's Compensation,3 Units
AH 3289,Research in Allied Health Sciences,1-3 Units
AH 3571,Health Hazards in the Workplace,3 Units
AH 3574,Ergonomics,3 Units
AH 4092,EMT Training,4 Units
AH 4095,Special Topics: Honors Seminar: Intro to Research and Professional,1 Unit
AH 4239,Research Methods in Allied Health,2 Units
AH 4240W,Writing for Allied Health Research,1 Unit
AH 4241,Research for the Health Professional,2 Units
AH 4242,Counseling and Teaching for the Health Professional,3 Units
AH 4243,Current Issues in Health,3 Units
AH 4244,Management for the Health Professional,3 Units
AH 4288,Instructional Assistant in Allied Health Sciences,1-3 Units
AH 4289,Honors Thesis Research in Allied Health Sciences,1-3 Units
AH 4291,OSH Internship,1-6 Units
AH 4297W,Honors Thesis in Allied Health Sciences,3 Units
AH 4501,International Health,3 Units
AH 4503,Poverty and Public Health,3 Units
AH 4530,Health Equity and Social Determinants of Health,3 Units
AHNR 3095,Special Topics: Brew Crew,3 Units
AHNR 3095,Special Topics: Essential Skills,1 Unit
AHNR 3099,Independent Study,1-6 Units
AHNR 3316,Introduction to Agricultural Mechanics and Safety,2 Units
AHNR 4500,Leadership Development in Extension Education,3 Units
AIRF 1200,Heritage and Values of the United States Air Force,1 Unit
AIRF 2200,Team and Leadership Fundamentals,1 Unit
AIRF 3200,Leading People and Effective Communication,3 Units
AIRF 3500,Aviation Ground School,3 Units
AIRF 4200,National Security Affairs/Preparation for Active Duty,3 Units
AMST 1201,Introduction to American Studies,3 Units
AMST 2204,Jewish Culture in American Film,3 Units
AMST 2276,American Utopias and Dystopias,3 Units
AMST 2550,"Crime, Policing, and Punishment in the United States",3 Units
AMST 3265W,American Studies Methods,3 Units
AMST 3531,Japanese Americans and World War II,3 Units
AMST 3570,History and Theory of Digital Art,3 Units
AMST 3699,Independent Study,1-3 Units
ANSC 1111,Principles of Animal Nutrition and Feeding,3 Units
ANSC 1602,Behavior and Training of Domestic Animals,3 Units
ANSC 1645,The Science of Food,3 Units
ANSC 1676,Introduction to Companion Animals,3 Units
ANSC 2251,Horse Science,3 Units
ANSC 2271,Principles of Poultry Science,3 Units
ANSC 2276,Companion Animal Science,3 Units
ANSC 2685,Special Topics: Management Skill and Practices: Dairy,1 Unit
ANSC 2685,Special Topics: Management Skill and Practices: Equine,1 Unit
ANSC 2685,Special Topics: Management Skill and Practices: Livestock,1 Unit
ANSC 2690,Animal Science Field Excursions: NE Winter Dairy Travel Course,1 Unit
ANSC 2699,Independent Study,1-6 Units
